Code guichet                            ,Code Localités                                         ,Code Términal GAB,GUICHETS,GAB| Nombre total des GAB,dont ceux servant à collecter les dépôts,gpsx,gpsy
109,270,11600117,FES AIN KADOUS                ,1,,-5.0089073,34.0614058
39,270,11600035,FES AL FADILA                 ,1,,-5.0449461,34.015068
54,270,11600004,FES AL QODS                   ,1,,-4.969941,34.018582
957,270,1600514,FES AL WIFAK                  ,1,,-5.0269801,34.0193454
1038,270,11600278,FES AL BARAKA,1,,-5.053255,33.997375
43,270,1600528,FES NARJIS                    ,1,,-4.9735934,34.0171045
53,270,1600618,FES ATLAS                     ,1,,-4.9942061,34.0322942
53,270,1600551,FES ATLAS                     ,1,,-4.9942061,34.0322942
953,270,1600624,FES BENDEBBAB                 ,1,,-4.999246,34.065041
141,270,11600116,FES BENSOUDA                  ,1,,-5.0539899,34.0171267
49,270,11600295,FES BETHA                     ,1,,-4.9822945,34.0609869
132,270,11600439,FES DOKKARAT                  ,1,,-5.0190032,34.0411428
38,270,1600568,FES PRINCIPAL                 ,1,,-4.998991,34.041105
1044,270,1600915,FES EL WAFAE,1,,-4.974506,34.011785
50,270,1600363,FES EL KARAOUIYINE            ,1,,-4.9737543,34.0655076
51,270,1600130,FES FEKHARINE                 ,1,,-4.9638207,34.0639756
44,270,1600823,FES FAR                       ,1,,-4.981742,34.037724
961,270,11600055,FES HAY TAREK                 ,1,,-5.0239921,34.0279441
52,270,11600281,FES JEDID                     ,1,,-4.9899495,34.0545705
136,270,11600438,FES JNANATE                   ,1,,-4.9651659,34.0697959
41,270,11600003,FES LES MERINDES              ,1,,-4.9914784,34.0692759
42,270,1600515,FES LOUIZATE                  ,1,,-4.9560625,34.0588771
38,270,1600683,FES PRINCIPAL                 ,1,,-4.998991,34.041105
38,270,11600380,FES PRINCIPAL                 ,1,,-4.998991,34.041105
153,270,11600441,FES SOUNDOUS                  ,1,,-5.0325778,34.0583749
152,270,11600114,FES ZOHOR SAIS                ,1,,-4.9802345,34.0105502
415,310,11600145,FIGUIG                        ,1,,-1.2287388,32.1098006
829,101,1600479,FKIH BEN SALAH PPAL           ,1,,-6.6869429,32.5049052
139,815,11600434,SALE BETTANA                  ,1,,-6.8088466,34.0296335
454,726,11600109,FNIDEQ                        ,1,,-5.3551457,35.847624
454,726,11600399,FNIDEQ                        ,1,,-5.3551457,35.847624
24,815,11600064,SALE TABRIQUET                ,1,,-6.806945,34.045066
13,810,1600832,RABAT FORCE AUXILIAIRE        ,1,,-6.860661,33.994407
742,685,1600313,FOUM ZGUID                    ,1,,-6.873051,30.085248
667,44,11600041,FREIJA                        ,1,,-8.797887,30.5051603
1,810,11600088,Siege,1,,-6.8410666,34.0048949
1,810,11600087,Siege,1,,-6.8410666,34.0048949
542,622,1600255,EL GARA                       ,1,,-7.234859,33.274971
176,810,1600423,RABAT GUICH LOUDAYA           ,1,,-6.88662,33.9383499
